S.No,Name,CMP (Rs.),P/E,Mar Cap (Rs. Cr.),Div Yld (%),NP Qtr (Rs. Cr.),Qtr Profit Var (%),Sales Qtr (Rs. Cr.),Qtr Sales Var (%),ROCE (%)
1.,Reliance Industr,1254.50,25.03,1697635.71,0.40,19323.00,-4.78,231535.00,-0.15,9.61
2.,TCS,4109.70,30.88,1486925.37,1.34,11955.00,5.00,64259.00,7.65,64.28
3.,HDFC Bank,1754.30,19.53,1341744.08,1.09,18627.44,6.03,83001.72,10.61,7.67
4.,Bharti Airtel,1600.90,67.59,958397.81,0.50,4153.40,119.37,41473.30,11.96,13.13
5.,ICICI Bank,1267.70,18.85,894931.58,0.77,13905.99,18.83,46325.78,18.97,7.60
6.,Infosys,1940.30,29.92,805664.77,1.93,6516.00,4.73,40986.00,5.11,39.99
7.,St Bk of India,793.80,9.18,708436.34,1.70,20565.03,22.88,121044.68,12.71,6.16
8.,ITC,480.20,29.13,600812.24,2.87,5054.43,1.95,20735.87,16.66,37.47
9.,Life Insurance,909.50,13.91,575258.49,1.11,7722.74,-3.83,231132.12,13.84,72.95
10.,Hind. Unilever,2411.25,55.12,566545.17,1.76,2595.00,-2.14,15926.00,1.94,27.24
11.,HCL Technologies,1949.90,31.48,529137.50,2.63,4237.00,10.52,28862.00,8.21,29.60
12.,Larsen & Toubro,3671.45,37.39,504872.27,0.75,4098.84,5.36,61554.58,20.64,13.44
13.,Bajaj Finance,7415.10,29.84,458992.10,0.49,4013.74,12.64,17090.27,27.71,11.92
14.,Sun Pharma.Inds.,1854.30,39.68,444908.66,0.72,3037.33,27.86,13291.39,9.01,17.32
15.,M & M,3202.00,33.54,398177.95,0.67,3361.06,35.05,37923.74,10.13,13.58
16.,Maruti Suzuki,11921.30,26.76,374808.71,1.06,3102.50,-18.06,37449.20,0.29,21.82
17.,Kotak Mah. Bank,1836.95,18.97,365217.57,0.11,5044.05,13.07,16426.97,19.76,7.86
18.,UltraTech Cem.,11778.30,51.73,340039.62,0.59,825.18,-35.95,15634.73,-2.36,15.12
19.,Axis Bank,1088.40,12.02,336870.40,0.09,7435.66,19.30,31601.05,15.26,7.06
20.,NTPC,340.65,15.01,330316.98,2.27,5380.25,14.30,44696.30,-0.64,10.47
21.,O N G C,259.85,7.81,326898.51,4.71,9878.44,-27.59,158329.10,7.26,18.43
22.,Wipro,295.50,26.34,309365.94,0.16,3226.60,21.26,22301.60,-0.95,16.93
23.,Titan Company,3447.75,94.39,306086.50,0.32,704.00,-23.06,14534.00,16.00,22.70
24.,Adani Enterp.,2574.95,52.58,297195.81,0.05,1989.19,577.60,22608.07,15.66,9.87
25.,Power Grid Corpn,316.25,18.70,294131.62,3.55,3793.02,0.31,11277.76,0.09,13.21
26.,Tata Motors,789.70,8.69,290698.34,0.39,3450.00,-12.93,101450.00,-3.50,20.11
27.,Hind.Aeronautics,4224.00,33.41,282490.61,0.83,1490.36,20.30,5976.55,6.05,38.88
28.,Bajaj Finserv,1706.10,31.98,272406.45,0.06,4180.15,8.19,33703.74,29.52,11.72
29.,Zomato Ltd,274.80,357.30,265191.64,0.00,176.00,388.89,4799.00,68.50,1.14
30.,Avenue Super.,4018.95,97.41,261526.45,0.00,659.44,5.79,14444.50,14.42,19.41
31.,Trent,7334.80,191.78,260742.97,0.04,335.06,46.92,4156.67,39.37,23.79
32.,Adani Ports,1204.20,25.38,260124.04,0.49,2412.54,40.37,7067.02,6.33,12.93
33.,Bajaj Auto,8981.90,34.00,250826.42,0.89,1385.44,-31.42,13247.28,22.23,33.53
34.,Coal India,396.45,6.81,244321.27,6.44,6274.80,-22.04,30672.88,-6.42,63.59
35.,Siemens,6612.50,86.66,235484.64,0.15,831.20,45.41,6461.10,11.25,25.59
36.,Asian Paints,2342.25,47.79,224668.08,1.42,693.66,-31.65,8027.54,-5.32,37.50
37.,JSW Steel,917.80,43.73,224443.77,0.80,404.00,-76.10,39684.00,-10.99,13.30
38.,Varun Beverages,652.75,86.87,220728.10,0.15,628.82,23.66,4804.68,24.14,28.82
39.,Nestle India,2229.65,67.71,214973.31,0.70,986.36,-7.40,5104.00,1.33,169.08
40.,Bharat Electron,293.00,47.24,214176.46,0.74,1092.78,38.40,4604.90,14.86,34.61
41.,DLF,829.25,57.03,205265.19,0.60,1381.22,122.08,1975.02,46.55,5.74
42.,Adani Power,521.90,15.90,201293.63,0.00,3297.52,-49.99,13338.88,2.68,32.25
43.,I R F C,153.45,30.82,200536.18,0.97,1612.65,4.41,6899.66,2.05,5.73
44.,Hindustan Zinc,469.95,22.57,198568.85,6.20,2298.00,35.80,8242.00,21.35,46.25
45.,I O C L,138.75,11.55,195932.10,8.58,-448.78,-104.63,174976.12,-2.38,21.14
46.,Jio Financial,307.60,121.66,195427.03,0.00,689.07,3.13,693.50,14.05,1.55
47.,Vedanta,459.20,17.28,179564.91,9.43,5603.00,522.41,37634.00,-3.37,20.91
48.,Interglobe Aviat,4480.05,26.04,173104.72,0.00,-988.80,-626.35,16969.60,13.56,24.53
49.,Tata Steel,138.40,56.70,172772.07,2.60,758.84,210.32,53904.71,-3.19,7.02
50.,LTIMindtree,5737.05,36.49,169980.48,1.13,1251.60,7.68,9432.90,5.92,31.17
51.,Grasim Inds,2516.60,35.39,165720.54,0.39,1100.16,-65.08,33562.85,11.06,9.30
52.,Tech Mahindra,1687.10,50.42,165131.13,2.34,1257.50,153.11,13313.20,3.49,11.88
